City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,75,AU,2021-09-20 02:31:52,64,-42.8794,147.3294,53.26,5.01
1,Hilo,90,US,2021-09-20 02:34:10,78,19.7297,-155.09,80.28,4.61
2,Albany,0,US,2021-09-20 02:29:57,87,42.6001,-73.9662,57.45,2.84
3,Varhaug,92,NO,2021-09-20 02:34:11,64,58.6147,5.6457,52.9,15.05
4,Yellowknife,40,CA,2021-09-20 02:34:11,81,62.456,-114.3525,43.32,5.75
5,Glowno,100,PL,2021-09-20 02:34:12,75,51.9646,19.7157,48.92,9.1
6,Saint-Joseph,39,RE,2021-09-20 02:34:12,77,-21.3667,55.6167,61.21,12.01
7,Atoyac,93,MX,2021-09-20 02:34:13,96,20.0167,-103.5333,70.16,2.86
8,Moussoro,92,TD,2021-09-20 02:34:13,54,13.6408,16.4901,84.63,8.12
9,Rio Gallegos,0,AR,2021-09-20 02:34:13,65,-51.6226,-69.2181,44.65,12.66
10,Ushuaia,75,AR,2021-09-20 02:34:14,75,-54.8,-68.3,40.66,23.02
11,Villa Maria,81,AR,2021-09-20 02:34:14,82,-32.4075,-63.2402,61.54,7.43
12,Pisco,75,PE,2021-09-20 02:34:15,82,-13.7,-76.2167,60.85,12.66
13,Ferkessedougou,10,CI,2021-09-20 02:34:15,95,9.6,-5.2,71.78,4.43
14,Saskylakh,100,RU,2021-09-20 02:34:16,81,71.9167,114.0833,32.34,8.21
15,Beringovskiy,100,RU,2021-09-20 02:34:16,87,63.05,179.3167,35.58,3.36
16,The Valley,1,AI,2021-09-20 02:34:17,76,18.217,-63.0578,80.1,13.62
17,Mahebourg,20,MU,2021-09-20 02:34:17,72,-20.4081,57.7,66.49,5.75
18,Te Anau,100,NZ,2021-09-20 02:34:17,94,-45.4167,167.7167,45.07,5.55
19,Moerbeke,47,BE,2021-09-20 02:34:18,83,51.1863,3.9473,59.0,6.51
20,Kulunda,63,RU,2021-09-20 02:34:18,55,52.566,78.9385,43.23,20.15
21,Talnakh,100,RU,2021-09-20 02:33:13,75,69.4865,88.3972,34.77,10.85
22,Scarborough,83,GB,2021-09-20 02:30:48,90,54.2797,-0.4044,57.51,1.01
23,Naze,6,JP,2021-09-20 02:34:19,65,28.3667,129.4833,83.32,3.67
24,Goderich,0,CA,2021-09-20 02:30:46,63,43.7501,-81.7165,62.92,5.75
25,Auki,76,SB,2021-09-20 02:34:20,62,-8.7676,160.7034,85.86,5.44
26,Ambilobe,97,MG,2021-09-20 02:34:20,71,-13.2,49.05,72.57,5.86
27,Baijiantan,77,CN,2021-09-20 02:34:21,18,45.6333,85.1833,74.97,31.05
28,Mar Del Plata,90,AR,2021-09-20 02:34:21,100,-38.0023,-57.5575,55.42,5.75
29,Pelham,90,US,2021-09-20 02:31:45,96,33.2857,-86.81,73.96,1.99
30,Port Blair,100,IN,2021-09-20 02:34:22,73,11.6667,92.75,83.91,5.7
31,New Norfolk,49,AU,2021-09-20 02:34:22,67,-42.7826,147.0587,52.92,12.77
32,Bertoua,100,CM,2021-09-20 02:34:23,98,4.5833,13.6833,67.03,2.06
33,Sioux Lookout,75,CA,2021-09-20 02:34:23,73,50.1001,-91.917,73.78,6.91
34,Umm Lajj,19,SA,2021-09-20 02:34:23,56,25.0213,37.2685,82.62,7.0
35,Ribeira Grande,25,PT,2021-09-20 02:34:24,68,38.5167,-28.7,69.62,11.92
36,Ambunti,93,PG,2021-09-20 02:34:24,74,-4.2365,142.8448,84.69,1.21
37,Meulaboh,100,ID,2021-09-20 02:34:25,77,4.1363,96.1285,79.54,3.71
38,Comodoro Rivadavia,0,AR,2021-09-20 02:30:01,40,-45.8667,-67.5,49.86,17.27
39,Rikitea,10,PF,2021-09-20 02:34:25,77,-23.1203,-134.9692,74.01,13.0
40,Cairns,75,AU,2021-09-20 02:34:26,42,-16.9167,145.7667,83.1,14.97
41,Pokhara,64,NP,2021-09-20 02:31:53,86,28.2333,83.9833,75.81,2.51
42,Bathurst,1,AU,2021-09-20 02:34:27,33,-33.4166,149.5806,67.96,3.0
43,Bredasdorp,0,ZA,2021-09-20 02:34:27,82,-34.5322,20.0403,51.12,5.75
44,Busselton,0,AU,2021-09-20 02:34:28,53,-33.65,115.3333,58.05,13.18
45,Fiche,60,ET,2021-09-20 02:34:28,69,9.8,38.7333,47.55,1.07
46,Helong,100,CN,2021-09-20 02:34:28,74,42.5397,128.9972,65.41,2.66
47,Hithadhoo,48,MV,2021-09-20 02:34:29,72,-0.6,73.0833,83.1,6.73
48,Tuktoyaktuk,20,CA,2021-09-20 02:34:29,61,69.4541,-133.0374,42.8,9.22
49,Hamina,10,FI,2021-09-20 02:34:30,85,60.5697,27.1979,43.88,14.54
50,Mezen,100,RU,2021-09-20 02:34:30,75,65.8522,44.24,39.43,3.87
51,Port Alfred,51,ZA,2021-09-20 02:34:30,88,-33.5906,26.891,57.81,11.95
52,Vardo,100,NO,2021-09-20 02:34:31,75,70.3705,31.1107,43.0,25.84
53,Vaini,20,TO,2021-09-20 02:34:31,73,-21.2,-175.2,77.16,13.8
54,Saint-Philippe,43,RE,2021-09-20 02:34:32,80,-21.3585,55.7679,62.22,12.77
55,Kapaa,75,US,2021-09-20 02:34:32,73,22.0752,-159.319,80.58,1.99
56,Port Elizabeth,0,ZA,2021-09-20 02:34:33,82,-33.918,25.5701,55.69,10.36
57,Vila Velha,75,BR,2021-09-20 02:34:33,88,-20.3297,-40.2925,75.15,6.91
58,East London,21,ZA,2021-09-20 02:34:34,83,-33.0153,27.9116,59.76,12.06
59,Aljezur,0,PT,2021-09-20 02:34:34,75,37.3191,-8.8033,61.74,11.21
60,Taunggyi,100,MM,2021-09-20 02:34:34,77,20.7833,97.0333,72.41,0.34
61,Kununurra,5,AU,2021-09-20 02:34:35,38,-15.7667,128.7333,93.18,10.36
62,Ken Caryl,2,US,2021-09-20 02:34:35,36,39.5773,-105.1169,76.37,1.01
63,Kangaatsiaq,97,GL,2021-09-20 02:34:36,65,68.3065,-53.4641,32.02,7.76
64,Chokurdakh,81,RU,2021-09-20 02:34:36,55,70.6333,147.9167,33.85,10.16
65,Punta Arenas,20,CL,2021-09-20 02:34:37,70,-53.15,-70.9167,41.11,18.41
66,Coari,36,BR,2021-09-20 02:34:37,95,-4.085,-63.1414,73.54,2.04
67,Olinda,40,BR,2021-09-20 02:34:38,65,-8.0089,-34.8553,76.73,6.91
68,Cape Town,75,ZA,2021-09-20 02:34:38,83,-33.9258,18.4232,59.88,7.0
69,Przhevalskoye,100,RU,2021-09-20 02:34:39,98,55.5093,31.8482,37.2,12.15
70,Jalu,0,LY,2021-09-20 02:34:39,35,29.0331,21.5482,79.74,8.23
71,Souillac,20,MU,2021-09-20 02:34:39,72,-20.5167,57.5167,66.58,5.75
72,Mataura,78,NZ,2021-09-20 02:34:40,56,-46.1927,168.8643,58.98,8.72
73,Verkhnevilyuysk,9,RU,2021-09-20 02:34:40,52,63.4453,120.3167,40.51,4.23
74,Acari,100,PE,2021-09-20 02:34:41,79,-15.4311,-74.6158,63.3,4.29
75,Riyadh,5,SA,2021-09-20 02:33:55,20,24.6877,46.7219,77.14,7.96
76,Catamarca,2,AR,2021-09-20 02:30:46,64,-28.4696,-65.7852,70.05,0.74
77,Sao Mateus,46,BR,2021-09-20 02:34:41,82,-18.7161,-39.8589,71.04,3.18
78,Qaanaaq,18,GL,2021-09-20 02:34:42,81,77.484,-69.3632,10.53,7.85
79,Solnechnyy,1,RU,2021-09-20 02:34:43,29,50.7214,136.6319,63.27,4.07
80,Mindelo,75,CV,2021-09-20 02:34:43,83,16.8901,-24.9804,80.15,0.0
81,Laguna,1,US,2021-09-20 02:34:44,36,38.421,-121.4238,77.29,10.36
82,Bluff,98,NZ,2021-09-20 02:34:44,68,-46.6,168.3333,54.73,14.43
83,Half Moon Bay,20,US,2021-09-20 02:34:45,83,37.4636,-122.4286,71.89,10.36
84,Baruun-Urt,100,MN,2021-09-20 02:34:45,50,46.6806,113.2792,64.18,11.34
85,La Ronge,20,CA,2021-09-20 02:34:46,66,55.1001,-105.2842,50.22,2.3
86,Sfantu Gheorghe,71,RO,2021-09-20 02:34:46,83,45.8667,25.7833,53.26,1.68
87,Cabo San Lucas,20,MX,2021-09-20 02:30:05,79,22.8909,-109.9124,84.61,9.22
88,Arraial Do Cabo,100,BR,2021-09-20 02:29:53,87,-22.9661,-42.0278,71.8,12.26
89,Lavrentiya,74,RU,2021-09-20 02:34:47,62,65.5833,-171.0,33.57,13.15
90,Saint George,1,US,2021-09-20 02:34:47,16,37.1041,-113.5841,84.79,1.01
91,Liling,91,CN,2021-09-20 02:34:48,61,27.6667,113.5,75.09,4.36
92,Victoria,14,HK,2021-09-20 02:34:48,85,22.2855,114.1577,87.85,5.97
93,Bengkulu,46,ID,2021-09-20 02:34:49,71,-3.8004,102.2655,80.98,1.95
94,Severomuysk,12,RU,2021-09-20 02:34:50,50,56.1481,113.4267,51.1,4.07
95,Kavieng,97,PG,2021-09-20 02:34:50,70,-2.5744,150.7967,84.04,6.31
96,Nanakuli,20,US,2021-09-20 02:34:50,53,21.3906,-158.1547,87.75,12.66
97,Butaritari,4,KI,2021-09-20 02:34:51,65,3.0707,172.7902,83.26,11.83
98,Klaksvik,40,FO,2021-09-20 02:34:51,88,62.2266,-6.589,50.92,21.3
99,Lebu,1,CL,2021-09-20 02:30:57,84,-37.6167,-73.65,46.87,15.23
100,Lasa,100,IT,2021-09-20 02:34:52,96,46.6166,10.7002,54.48,6.11
101,Mwene-Ditu,98,CD,2021-09-20 02:34:52,82,-7.0,23.45,66.18,3.6
102,Tiksi,90,RU,2021-09-20 02:34:53,69,71.6872,128.8694,34.92,18.54
103,Paamiut,90,GL,2021-09-20 02:34:53,80,61.994,-49.6678,35.82,13.78
104,Vostok,43,RU,2021-09-20 02:34:53,36,46.4856,135.8833,58.28,4.63
105,Fortuna,1,US,2021-09-20 02:34:54,88,40.5982,-124.1573,62.94,11.5
106,Barrow,75,US,2021-09-20 02:34:54,86,71.2906,-156.7887,30.22,14.97
107,Bambous Virieux,20,MU,2021-09-20 02:34:55,72,-20.3428,57.7575,66.45,5.75
108,Roma,1,US,2021-09-20 02:34:55,90,43.2128,-75.4557,57.83,3.44
109,Tasiilaq,34,GL,2021-09-20 02:34:55,69,65.6145,-37.6368,35.76,5.01
110,Hasaki,9,JP,2021-09-20 02:34:56,61,35.7333,140.8333,75.6,16.62
111,Jamestown,1,US,2021-09-20 02:33:47,74,42.097,-79.2353,64.04,1.01
112,Puerto Ayora,49,EC,2021-09-20 02:30:45,95,-0.7393,-90.3518,67.55,1.01
113,Manzanillo,22,CU,2021-09-20 02:34:57,80,20.3433,-77.1167,76.68,8.57
114,Hermanus,31,ZA,2021-09-20 02:34:57,83,-34.4187,19.2345,55.9,18.25
115,Neuquen,0,AR,2021-09-20 02:34:58,53,-38.9516,-68.0591,46.29,3.44
116,Digoin,90,FR,2021-09-20 02:34:58,100,46.4812,3.9795,60.12,6.91
117,Yerbogachen,99,RU,2021-09-20 02:34:59,76,61.2767,108.0108,48.96,2.95
118,Druzhba,100,UA,2021-09-20 02:34:59,98,52.0428,33.9453,49.87,6.11
119,Adet,6,ET,2021-09-20 02:35:00,82,11.2644,37.4888,54.18,3.13
120,San Quintin,0,MX,2021-09-20 02:35:00,79,30.4833,-115.95,67.42,10.29
121,Grand Gaube,30,MU,2021-09-20 02:35:01,66,-20.0064,57.6608,66.6,5.01
122,Alofi,3,NU,2021-09-20 02:35:01,74,-19.0595,-169.9187,80.49,8.05
123,Cameta,96,BR,2021-09-20 02:35:02,84,-2.2444,-49.4958,77.16,6.04
124,Lompoc,75,US,2021-09-20 02:30:50,84,34.6391,-120.4579,69.21,10.36
125,Ouadda,100,CF,2021-09-20 02:35:03,97,8.0777,22.4007,68.23,4.14
126,Dikson,100,RU,2021-09-20 02:35:03,76,73.5069,80.5464,35.28,17.69
127,Lebaksiu,36,ID,2021-09-20 02:35:04,49,-7.0496,109.1441,88.02,3.6
128,Codrington,100,AU,2021-09-20 02:35:04,79,-38.2667,141.9667,48.02,23.53
129,Northam,2,GB,2021-09-20 02:35:05,94,51.0333,-4.2167,56.61,4.7
130,Tanda,1,IN,2021-09-20 02:35:05,74,26.55,82.65,84.09,3.42
131,Hualmay,26,PE,2021-09-20 02:35:06,81,-11.0964,-77.6139,60.55,10.0
132,Gorom-Gorom,50,BF,2021-09-20 02:35:06,56,14.4439,-0.2361,84.42,14.85
133,Kaminskiy,100,RU,2021-09-20 02:35:06,79,57.1516,41.4732,37.08,13.91
134,Soyo,12,AO,2021-09-20 02:35:07,82,-6.1349,12.3689,73.33,7.29
135,Torbay,90,CA,2021-09-20 02:35:07,97,47.6666,-52.7314,54.75,27.63
136,Sorong,99,ID,2021-09-20 02:30:13,75,-0.8833,131.25,82.58,6.31
137,Troitskoye,18,RU,2021-09-20 02:35:08,61,52.9821,84.6757,44.4,15.39
138,Las Palmas,19,ES,2021-09-20 02:35:09,68,28.4204,-14.0131,68.79,8.05
139,Beloha,0,MG,2021-09-20 02:35:09,80,-25.1667,45.05,59.23,9.17
140,Yulara,6,AU,2021-09-20 02:35:09,21,-25.2406,130.9889,73.24,21.85
141,Berlevag,100,NO,2021-09-20 02:35:10,76,70.8578,29.0864,39.2,24.61
142,Norman Wells,75,CA,2021-09-20 02:35:10,76,65.282,-126.8329,44.64,6.91
143,Lata,32,PT,2021-09-20 02:35:11,95,40.1629,-8.3327,61.21,2.68
144,Kyzyl-Suu,0,KG,2021-09-20 02:35:11,39,42.3414,78.0056,62.53,2.26
145,Saldanha,85,ZA,2021-09-20 02:35:12,85,-33.0117,17.9442,57.25,14.58
146,Bon Air,1,US,2021-09-20 02:35:12,82,37.5249,-77.5578,72.82,3.44
147,Miraflores,99,MX,2021-09-20 02:35:13,94,19.2167,-98.8083,56.05,3.87
148,General Roca,0,AR,2021-09-20 02:35:01,29,-39.0333,-67.5833,46.8,10.07
149,Tura,49,IN,2021-09-20 02:35:13,79,25.5198,90.2201,79.36,4.07
150,Nanortalik,44,GL,2021-09-20 02:35:14,90,60.1432,-45.2371,36.59,9.78
151,Nemuro,36,JP,2021-09-20 02:35:14,66,43.3236,145.575,70.23,5.88
152,Iqaluit,40,CA,2021-09-20 02:35:15,86,63.7506,-68.5145,28.13,6.91
153,Acapulco,90,MX,2021-09-20 02:30:54,83,16.8634,-99.8901,82.22,0.0
154,Tazovskiy,44,RU,2021-09-20 02:35:15,82,67.4667,78.7,31.42,20.49
155,Katsuura,39,JP,2021-09-20 02:35:16,61,35.1333,140.3,78.84,18.3
156,Coquimbo,0,CL,2021-09-20 02:35:16,87,-29.9533,-71.3436,53.33,2.3
157,San Angelo,1,US,2021-09-20 02:35:17,47,31.4638,-100.437,83.43,4.61
158,Mollendo,100,PE,2021-09-20 02:35:17,84,-17.0231,-72.0147,59.92,6.38
159,Atuona,13,PF,2021-09-20 02:35:18,75,-9.8,-139.0333,78.24,21.07
160,Beausejour,100,CA,2021-09-20 02:35:18,45,50.0622,-96.5167,71.37,7.4
161,Shache,9,CN,2021-09-20 02:35:18,13,38.4167,77.2406,78.39,6.2
162,Wuan,1,CN,2021-09-20 02:35:19,59,31.6836,112.0044,79.2,3.42
163,Bundaberg,0,AU,2021-09-20 02:35:19,52,-24.85,152.35,81.21,8.01
164,Avarua,37,CK,2021-09-20 02:35:20,73,-21.2078,-159.775,78.85,12.66
165,Prieska,0,ZA,2021-09-20 02:35:20,52,-29.6641,22.7474,49.14,7.43
166,Ostrovnoy,3,RU,2021-09-20 02:35:21,77,68.0531,39.5131,36.52,7.94
167,Houston,1,US,2021-09-20 02:35:14,79,29.7633,-95.3633,83.37,1.99
168,Dakar,46,SN,2021-09-20 02:35:21,77,14.6937,-17.4441,77.88,11.81
169,Tacna,85,PE,2021-09-20 02:35:22,87,-18.0056,-70.2483,54.81,2.66
170,Hami,2,CN,2021-09-20 02:35:22,13,42.8,93.45,83.19,4.54
171,Caraballeda,70,VE,2021-09-20 02:35:23,94,10.6112,-66.8522,80.67,6.91
172,Muzhi,57,RU,2021-09-20 02:35:23,85,65.3667,64.6667,32.79,11.36
173,Auchel,100,FR,2021-09-20 02:35:24,95,50.5034,2.4735,61.11,3.76
174,Rocky Mountain House,80,CA,2021-09-20 02:30:47,75,52.3668,-114.9188,53.35,3.44
175,Khatanga,100,RU,2021-09-20 02:35:25,100,71.9667,102.5,32.02,13.11
176,Provideniya,40,RU,2021-09-20 02:35:25,48,64.3833,-173.3,37.51,13.42
177,Georgetown,20,MY,2021-09-20 02:35:25,78,5.4112,100.3354,82.35,0.0
178,Mitsamiouli,5,KM,2021-09-20 02:35:26,71,-11.3847,43.2844,75.88,5.79
179,Moses Lake,1,US,2021-09-20 02:30:45,42,47.1301,-119.2781,65.08,13.8
180,Havre-Saint-Pierre,1,CA,2021-09-20 02:35:27,81,50.2334,-63.5986,48.2,5.75
181,Trat,99,TH,2021-09-20 02:35:27,79,12.5,102.5,85.24,0.92
182,Pahalgam,10,IN,2021-09-20 02:35:27,71,34.0333,75.3333,63.09,4.03
183,Sri Aman,40,MY,2021-09-20 02:35:28,83,1.2376,111.4621,82.45,2.3
184,Shingu,56,JP,2021-09-20 02:35:28,69,33.7333,135.9833,81.91,6.76
185,Tilichiki,100,RU,2021-09-20 02:33:12,89,60.4667,166.1,48.06,12.15
186,Nhulunbuy,40,AU,2021-09-20 02:35:29,58,-12.2333,136.7667,86.61,17.27
187,Arman,100,RU,2021-09-20 02:35:30,90,59.7,150.1667,46.51,2.84
188,Maldonado,100,UY,2021-09-20 02:32:03,99,-34.6667,-54.9167,62.22,5.35
189,Takoradi,100,GH,2021-09-20 02:33:18,93,4.8845,-1.7554,74.73,6.31
190,Pierre,1,US,2021-09-20 02:35:31,58,44.3683,-100.351,81.86,8.99
191,Gasa,0,PS,2021-09-20 02:35:31,71,31.5,34.4667,75.18,4.09
192,Nikolskoye,100,RU,2021-09-20 02:35:31,81,59.7035,30.7861,40.89,9.04
193,Singureni,9,RO,2021-09-20 02:35:32,57,44.2336,25.9433,56.14,3.87
194,Castro,100,BR,2021-09-20 02:35:33,83,-24.7911,-50.0119,65.28,4.21
195,Novikovo,58,RU,2021-09-20 02:35:33,98,51.1537,37.8879,52.92,7.38
196,Kruisfontein,4,ZA,2021-09-20 02:35:34,90,-34.0033,24.7314,47.88,7.05
197,Sitka,75,US,2021-09-20 02:35:34,76,57.0531,-135.33,55.29,4.61
198,Campbell River,75,CA,2021-09-20 02:35:35,100,50.0163,-125.2446,56.12,2.3
199,Grindavik,75,IS,2021-09-20 02:35:35,100,63.8424,-22.4338,51.91,17.27
200,Carnarvon,0,AU,2021-09-20 02:35:36,9,-24.8667,113.6333,86.07,21.85
201,Carballo,97,ES,2021-09-20 02:35:36,91,43.213,-8.691,58.91,5.55
202,Dauphin,90,CA,2021-09-20 02:35:37,48,51.1494,-100.0502,64.54,9.22
